Series Name,Series Code,Country Name,Country Code,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
"Population, total",SP.POP.TOTL,Belize,BLZ,405272,400031,394921,389095,382066,374693,367313,359871,352335,344688,337059,329538,322106,314171,305671,297173,288729,280375,272128,263998,255987,248100
"Population, total",SP.POP.TOTL,Benin,BEN,13352864,12996895,12643123,12290444,11940683,11596779,11260085,10932783,10614844,10308730,10014078,9726380,9445710,9172514,8906469,8647761,8402631,8149419,7894554,7659208,7431783,7212041
"Population, total",SP.POP.TOTL,Bermuda,BMU,63532,63764,63893,63911,63918,63873,64554,65237,65138,65001,64798,64564,65124,65636,65273,64888,64523,64154,63740,63325,62912,62504
"Population, total",SP.POP.TOTL,Bhutan,BTN,782455,777486,772506,767459,762096,756121,749761,743274,736357,728889,721145,713331,705516,697678,689737,681614,673260,663323,649991,634627,619048,603234
"Population, total",SP.POP.TOTL,Bolivia,BOL,12224110,12079472,11936162,11777315,11606905,11435533,11263015,11090085,10916987,10743349,10569697,10396246,10223270,10051317,9880593,9711152,9542663,9377388,9216279,9057378,8900583,8746084
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3233526,3270943,3318407,3360711,3400129,3440027,3480986,3524324,3571068,3617559,3674374,3743142,3811088,3877750,3943392,4007876,4058086,4094297,4142860,4183757,4198410,4194932
"Population, total",SP.POP.TOTL,Botswana,BWA,2630296,2588423,2546402,2499702,2451409,2401840,2352416,2305171,2260376,2217278,2175425,2134037,2091664,2048997,2007320,1966977,1928704,1892807,1859085,1826863,1795130,1761930
"Population, total",SP.POP.TOTL,Brazil,BRA,215313498,214326223,213196304,211782878,210166592,208504960,206859578,205188205,203459650,201721767,199977707,198185302,196353492,194517549,192672317,190779453,188820682,186797334,184722043,182629278,180476685,178211881
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,31305,31122,30910,30610,30335,30060,29739,29366,28971,28657,28421,27962,27556,27044,26115,25191,24323,23497,22715,21982,21288,20657
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,449002,445373,441725,438048,434274,430276,425994,421437,416656,411702,406634,401506,396053,390311,384568,378748,372808,366717,360461,354045,347463,340748
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6465097,6877743,6934015,6975761,7025037,7075947,7127822,7177991,7223938,7265115,7305888,7348328,7395599,7444443,7492561,7545338,7601022,7658972,7716860,7775327,7837161,8009142
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,22673762,22100683,21522626,20951639,20392723,19835858,19275498,18718019,18169842,17636408,17113732,16602651,16116845,15650022,15197915,14757074,14316242,13876127,13445977,13030591,12632269,12249764
"Population, total",SP.POP.TOTL,Burundi,BDI,12889576,12551213,12220227,11874838,11493472,11155593,10903327,10727148,10494913,10149577,9795479,9455733,9126605,8709366,8278109,7944609,7658190,7388874,7120496,6860846,6648938,6465729
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,593149,587925,582640,577030,571202,564954,558394,552166,546076,539940,533864,527521,521212,515638,510336,504733,498884,492827,486583,480089,473231,465958
"Population, total",SP.POP.TOTL,Cambodia,KHM,16767842,16589023,16396860,16207746,16025238,15830689,15624584,15417523,15210817,14999683,14786640,14573885,14363532,14155740,13943888,13714791,13477779,13246583,13016371,12787710,12561779,12338192
"Population, total",SP.POP.TOTL,Cameroon,CMR,27914536,27198628,26491087,25782341,25076747,24393181,23711630,23012646,22299585,21632850,21032684,20448873,19878036,19319274,18777081,18251866,17751333,17275171,16809407,16354326,15914033,15493253
"Population, total",SP.POP.TOTL,Canada,CAN,38929902,38226498,38007166,37601230,37065084,36545236,36109487,35702908,35437435,35082954,34714222,34339328,34004889,33628895,33247118,32889025,32571174,32243753,31940655,31644028,31360079,31020902
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,68706,68136,67311,66134,64884,63581,62255,60911,59559,58212,56860,55492,54074,52602,51123,49647,48177,46727,45286,43862,42456,41054
"Population, total",SP.POP.TOTL,Central African Republic,CAF,5579144,5457154,5343020,5209324,5094780,4996741,4904177,4819333,4798734,4802428,4773306,4732022,4660067,4564540,4467233,4375569,4294352,4208834,4115138,4026841,3930648,3844773
"Population, total",SP.POP.TOTL,Chad,TCD,17723315,17179740,16644701,16126866,15604210,15085884,14592585,14140274,13697126,13216766,12754906,12317730,11894727,11496128,11098664,10722731,10365614,10005012,9613503,9196366,8838369,8538804
"Population, total",SP.POP.TOTL,Channel Islands,CHI,174079,172683,171113,169410,167259,165215,163721,162190,160912,159794,158621,157819,156933,155721,154475,153225,151985,150763,149538,148341,147167,146044
"Population, total",SP.POP.TOTL,Chile,CHL,19603733,19493184,19300315,19039485,18701450,18368577,18083879,17870124,17687108,17509925,17341771,17173573,17004162,16833447,16661462,16495538,16334575,16175311,16017966,15859112,15693790,15523978
"Population, total",SP.POP.TOTL,China,CHN,1412175000,1412360000,1411100000,1407745000,1402760000,1396215000,1387790000,1379860000,1371860000,1363240000,1354190000,1345035000,1337705000,1331260000,1324655000,1317885000,1311020000,1303720000,1296075000,1288400000,1280400000,1271850000
"Population, total",SP.POP.TOTL,Colombia,COL,51874024,51516562,50930662,50187406,49276961,48351671,47625955,47119728,46677947,46237930,45782417,45308899,44816108,44313917,43815313,43306582,42772910,42220940,41648268,41057687,40454050,39837875
"Population, total",SP.POP.TOTL,Comoros,COM,836774,821625,806166,790986,776313,761664,746232,730216,714612,699393,684553,670071,656024,642493,629470,616899,604658,592683,581154,570130,559047,547741
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,99010212,95894118,92853164,89906890,87087355,84283273,81430977,78656904,76035588,73460021,70997870,68654269,66391257,64270232,62249724,60289422,58381630,56550247,54815607,53205639,51662071,50106657
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5970424,5835806,5702174,5570733,5441062,5312340,5186824,5064386,4944861,4828066,4713257,4584216,4437884,4257230,4089602,3956329,3813323,3672839,3543012,3424653,3331158,3254101
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5180829,5153957,5123105,5084532,5040734,4993842,4945205,4895242,4844288,4791535,4736593,4679926,4622252,4563127,4501921,4440019,4378172,4315887,4252800,4188610,4122623,4053222
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,28160542,27478249,26811790,26147551,25493988,24848016,24213622,23596741,22995555,22469268,22010712,21562914,21120042,20677762,20244449,19817700,19394057,18970215,18544903,18116451,17683897,17245468
"Population, total",SP.POP.TOTL,Croatia,HRV,3854000,3879000,4047680,4065253,4087843,4124531,4174349,4203604,4238389,4255689,4267558,4280622,4295427,4305181,4309705,4310217,4311159,4310145,4304600,4303399,4302174,4299642
"Population, total",SP.POP.TOTL,Cuba,CUB,11212191,11256372,11300698,11316697,11328244,11336405,11342012,11339894,11332026,11321579,11309290,11298710,11290417,11283185,11276609,11269887,11260630,11246114,11225294,11199217,11170051,11139127
"Population, total",SP.POP.TOTL,Curacao,CUW,149996,152369,154947,157441,159336,160175,159664,157980,155909,153822,152088,150831,148703,146833,145880,144056,141239,137658,134192,131897,129205,129047
"Population, total",SP.POP.TOTL,Cyprus,CYP,1251488,1244188,1237537,1228836,1218831,1208523,1197881,1187280,1176995,1166968,1156556,1145086,1129686,1110974,1092390,1073873,1055438,1037062,1018684,1000350,982194,964830
"Population, total",SP.POP.TOTL,Czechia,CZE,10526073,10505772,10697858,10671870,10629928,10594438,10566332,10546059,10525347,10514272,10510785,10496088,10474410,10443936,10384603,10298828,10238905,10211216,10197101,10193998,10196916,10216605
"Population, total",SP.POP.TOTL,Denmark,DNK,5903037,5856733,5831404,5814422,5793636,5764980,5728010,5683483,5643475,5614932,5591572,5570572,5547683,5523095,5493621,5461438,5437272,5419432,5404523,5390574,5375931,5358783
"Population, total",SP.POP.TOTL,Djibouti,DJI,1120849,1105557,1090156,1073994,1057198,1040233,1023261,1006259,989087,971753,954297,936811,919199,901103,882886,865196,846947,830861,818373,806411,789129,765490
"Population, total",SP.POP.TOTL,Dominica,DMA,72737,72412,71995,71428,70823,70403,70075,70007,69371,68819,68888,68742,68755,68787,68782,68775,68742,68674,68574,68442,68262,68153
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,11228821,11117873,10999664,10881882,10765531,10647244,10527592,10405832,10282115,10157051,10030882,9903737,9775755,9648061,9522948,9402206,9284168,9164768,9043127,8919852,8795101,8669040
"Population, total",SP.POP.TOTL,Ecuador,ECU,18001000,17797737,17588595,17343740,17015672,16696944,16439585,16195902,15957994,15722989,15483883,15237728,14989585,14742766,14496797,14251835,14009061,13770012,13534593,13301184,13070609,12845521
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,110990103,109262178,107465134,105618671,103740765,101789386,99784030,97723799,95592324,93377890,91240376,89200054,87252413,85501064,83844783,82218755,80629670,79075310,77522427,75963322,74393759,72854261
"Population, total",SP.POP.TOTL,El Salvador,SLV,6336392,6314167,6292731,6280217,6276342,6266654,6250510,6231066,6209526,6185642,6161289,6137349,6114034,6091188,6068099,6044131,6034436,6037817,6035655,6026849,6011275,5988095
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1674908,1634466,1596049,1553031,1502091,1450694,1398927,1346973,1295183,1243941,1193636,1144588,1094524,1043686,994971,948814,905418,864726,826355,789681,754115,719270
"Population, total",SP.POP.TOTL,Eritrea,ERI,3684032,3620312,3555868,3498818,3445374,3396933,3365287,3340006,3323425,3296367,3252596,3207570,3147727,3083888,3005779,2926168,2880093,2831732,2763140,2653390,2547424,2461927
"Population, total",SP.POP.TOTL,Estonia,EST,1344768,1330932,1329522,1326898,1321977,1317384,1315790,1315407,1314545,1317997,1322696,1327439,1331475,1334515,1337090,1340680,1346810,1354775,1362550,1370720,1379350,1388115
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1201670,1192271,1180655,1169613,1160428,1151390,1142524,1133936,1125865,1118319,1111444,1105371,1099920,1094886,1089870,1084008,1077735,1071886,1065764,1058797,1050809,1041396
"Population, total",SP.POP.TOTL,Ethiopia,ETH,123379924,120283026,117190911,114120594,111129438,108197950,105293228,102471895,99746766,97084366,94451280,91817929,89237791,86755585,84357105,81996185,79691050,77469940,75301026,73168838,71073215,69018932
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,53090,52889,52415,51681,50955,50230,49500,48816,48465,48418,48392,48386,48410,48429,48411,48361,48313,48291,47989,47392,46813,46245
"Population, total",SP.POP.TOTL,Fiji,FJI,929766,924610,920422,918465,918996,919019,918371,917200,915560,913453,911059,908355,905169,901383,896731,890648,883083,874923,866694,858306,849891,841320
"Population, total",SP.POP.TOTL,Finland,FIN,5556880,5541017,5529543,5521606,5515525,5508214,5495303,5479531,5461512,5438972,5413971,5388272,5363352,5338871,5313399,5288720,5266268,5246096,5228172,5213014,5200598,5188008
"Population, total",SP.POP.TOTL,France,FRA,67935660,67749632,67571107,67388001,67158348,66918020,66724104,66548272,66312067,66002289,65662240,65345233,65030575,64710879,64379696,64021737,63628261,63188395,62716306,62256970,61816234,61367388
"Population, total",SP.POP.TOTL,French Polynesia,PYF,306279,304032,301920,299717,297606,295450,293541,291787,289873,288032,286584,285265,283788,282283,280558,278178,274901,271060,267132,263173,259137,255049
"Population, total",SP.POP.TOTL,Gabon,GAB,2388992,2341179,2292573,2242785,2192012,2140215,2086206,2028517,1966855,1902226,1836705,1772500,1711105,1653542,1599978,1549774,1502534,1458353,1417110,1378398,1341696,1306590
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2705992,2639916,2573995,2508883,2444916,2381182,2317206,2253133,2189019,2124869,2061014,1998212,1937275,1878119,1820542,1764883,1711294,1660368,1612225,1566257,1522223,1479449
"Population, total",SP.POP.TOTL,Georgia,GEO,3712502,3708610,3722716,3720161,3726549,3728004,3727505,3725276,3719414,3717668,3728874,3756441,3786695,3814419,3848449,3860158,3880347,3902469,3927340,3951736,3978515,4014373
"Population, total",SP.POP.TOTL,Germany,DEU,84079811,83196078,83160871,83092962,82905782,82657002,82348669,81686611,80982500,80645605,80425823,80274983,81776930,81902307,82110097,82266372,82376451,82469422,82516260,82534176,82488495,82349925
"Population, total",SP.POP.TOTL,Ghana,GHA,33475870,32833031,32180401,31522290,30870641,30222262,29554303,28870939,28196358,27525597,26858762,26205941,25574719,24950762,24326087,23708320,23098586,22496951,21906444,21329514,20758326,20195577
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32649,32669,32709,32685,32648,32602,32565,32520,32452,32411,32160,31701,31262,30819,30398,29996,29587,29155,28716,28301,27892,27721
"Population, total",SP.POP.TOTL,Greece,GRC,10566531,10641221,10698599,10721582,10732882,10754679,10775971,10820883,10892413,10965211,11045011,11104899,11121341,11107017,11077841,11048473,11020362,10987314,10955141,10928070,10902022,10862132
"Population, total",SP.POP.TOTL,Greenland,GRL,56661,56653,56367,56225,56023,56172,56186,56114,56295,56483,56810,56890,56905,56323,56328,56555,56774,56935,56911,56765,56609,56350
"Population, total",SP.POP.TOTL,Grenada,GRD,125438,124610,123663,122724,121838,120921,119966,118980,117972,116945,115912,114918,114039,113249,112478,111725,110988,110254,109516,108740,108231,107936
"Population, total",SP.POP.TOTL,Guam,GUM,171774,170534,169231,168624,168678,168606,168346,167978,167543,167054,166392,165649,164905,164580,164725,164763,164675,164430,164004,163385,162563,161524
"Population, total",SP.POP.TOTL,Guatemala,GTM,17357886,17109746,16858333,16604026,16346950,16087418,15827690,15567419,15306316,15043981,14781942,14521515,14259687,14000190,13739299,13477017,13213330,12948292,12682108,12415334,12147518,11871565
"Population, total",SP.POP.TOTL,Guinea,GIN,13859341,13531906,13205153,12877539,12554864,12240789,11930985,11625998,11333365,11055430,10788692,10527712,10270728,10021323,9779785,9547082,9330625,9140114,8961039,8772254,8577790,8445717
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,2105566,2060721,2015828,1970457,1924955,1879826,1834552,1788919,1743309,1697753,1652717,1609017,1567220,1527196,1488431,1450572,1414091,1379713,1347009,1315653,1285678,1257380
"Population, total",SP.POP.TOTL,Guyana,GUY,808726,804567,797202,798753,785514,763252,759087,755031,751115,747420,743966,744230,747932,751258,754150,756521,758367,759709,760424,760562,760323,759809
"Population, total",SP.POP.TOTL,Haiti,HTI,11584996,11447569,11306801,11160438,11012421,10863543,10713849,10563757,10412740,10261206,10108539,9954312,9842880,9730638,9575247,9420826,9266288,9111900,8961489,8812245,8661546,8511728
"Population, total",SP.POP.TOTL,Honduras,HND,10432860,10278345,10121763,9958829,9792850,9626842,9460798,9294505,9127846,8960657,8792367,8622504,8450933,8277302,8101777,7924462,7745200,7564613,7383407,7201881,7019908,6837861
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7346100,7413100,7481000,7507900,7452600,7393200,7336600,7291300,7229500,7178900,7150100,7071600,7024200,6972800,6957800,6916300,6857100,6813200,6783500,6730800,6744100,6714300
"Population, total",SP.POP.TOTL,Hungary,HUN,9683505,9709891,9750149,9771141,9775564,9787966,9814023,9843028,9866468,9893082,9920362,9971727,10000023,10022650,10038188,10055780,10071370,10087065,10107146,10129552,10158608,10187576
"Population, total",SP.POP.TOTL,Iceland,ISL,381900,372520,366463,360563,352721,343400,335439,330815,327386,323764,320716,319014,318041,318499,317414,311566,303782,296734,292074,289521,287523,284968
"Population, total",SP.POP.TOTL,India,IND,1417173173,1407563842,1396387127,1383112050,1369003306,1354195680,1338636340,1322866505,1307246509,1291132063,1274487215,1257621191,1240613620,1223640160,1206734806,1189691809,1172373788,1154638713,1136264583,1117415123,1098313039,1078970907
"Population, total",SP.POP.TOTL,Indonesia,IDN,275501339,273753191,271857970,269582878,267066843,264498852,261850182,259091970,256229761,253275918,250222695,247099697,244016173,240981299,237936543,234858289,231797427,228805144,225938595,223080121,220115092,217112437
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,88550570,87923432,87290193,86564202,85617562,84505076,83306231,81790841,79961672,78458928,77324451,76342971,75373855,74322685,73318394,72319418,71275760,70182594,69061674,67954699,67327117,66674851
"Population, total",SP.POP.TOTL,Iraq,IRQ,44496122,43533592,42556984,41563520,40590700,39621162,38697943,37757813,36746488,35481800,33864447,32378061,31264875,30289040,29218381,28660887,28905607,28698684,27858948,27068823,26255343,25425663
"Population, total",SP.POP.TOTL,Ireland,IRL,5086988,5033165,4985382,4934340,4867316,4807388,4755335,4701957,4657740,4623816,4599533,4580084,4560155,4535375,4489544,4398942,4273591,4159914,4070262,3996521,3931947,3866243
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84519,84263,84046,83933,83775,83580,83450,83593,83896,84144,84338,84350,83828,82915,81997,81100,80228,79415,78677,77939,77183,76398
"Population, total",SP.POP.TOTL,Israel,ISR,9550600,9364700,9215100,9054000,8882800,8713300,8546000,8380100,8215700,8059500,7910500,7765800,7623600,7485600,7308800,7180100,7053700,6930100,6809000,6689700,6570000,6439000
"Population, total",SP.POP.TOTL,Italy,ITA,58856847,59109668,59438851,59729081,60421760,60536709,60627498,60730582,60789140,60233948,59539717,59379449,59277417,59095365,58826731,58438310,58143979,57969484,57685327,57313203,57059007,56974100
"Population, total",SP.POP.TOTL,Jamaica,JAM,2827377,2827695,2820436,2813773,2811835,2808376,2802695,2794445,2784543,2773129,2759817,2746169,2733896,2722401,2711373,2701221,2689660,2676863,2664024,2651027,2638244,2625405
"Population, total",SP.POP.TOTL,Japan,JPN,125124989,125681593,126261000,126633000,126811000,126972000,127076000,127141000,127276000,127445000,127629000,127833000,128070000,128047000,128063000,128001000,127854000,127773000,127761000,127718000,127445000,127149000
"Population, total",SP.POP.TOTL,Jordan,JOR,11285869,11148278,10928721,10698683,10459865,10215381,9964656,9494246,8658026,7694814,7211863,7109980,6931258,6780493,6632873,6473457,6075548,5678534,5532423,5396117,5275532,5163310
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,19621972,19000988,18755666,18513673,18276452,18037776,17794055,17542806,17288285,17035551,16792090,16557202,16321872,16092822,15776938,15484192,15308085,15147029,15012984,14909019,14858948,14858335
"Population, total",SP.POP.TOTL,Kenya,KEN,54027487,53005614,51985780,50951450,49953304,48948137,47894670,46851488,45831863,44792368,43725806,42635144,41517895,40364444,39186895,38036793,36925253,35843010,34791836,33767122,32779823,31800343
"Population, total",SP.POP.TOTL,Kiribati,KIR,131232,128874,126463,124241,122261,120362,118513,116707,114985,113311,111618,109871,107995,105996,103966,101998,100083,98164,96224,94302,92400,90531
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,26069416,25971909,25867467,25755441,25638149,25516321,25389611,25258015,25126131,25001819,24887770,24783789,24686435,24581509,24469047,24356506,24235761,24100982,23948930,23781707,23638411,23512522
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51628117,51744876,51836239,51764822,51585058,51361911,51217803,51014947,50746659,50428893,50199853,49936638,49554112,49307835,49054708,48683638,48438292,48184561,48082519,47892330,47644736,47370164
"Population, total",SP.POP.TOTL,Kosovo,XKX,1761985,1786038,1790133,1788878,1797085,1791003,1777557,1788196,1812771,1818117,1807106,1791000,1775680,1761474,1747383,1733404,1719536,1705780,1704622,1703466,1702310,1701154
"Population, total",SP.POP.TOTL,Kuwait,KWT,4268873,4250114,4360444,4441100,4317185,4124904,4048085,3908743,3761584,3646518,3394663,3143825,2943356,2795550,2650930,2506769,2363409,2235403,2153481,2101506,2047364,1991674
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6803300,6691800,6579900,6456200,6322800,6198200,6079500,5956900,5835500,5719600,5607200,5514600,5447900,5383300,5318700,5268400,5218400,5162600,5104700,5043300,4990700,4945100
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7529475,7425057,7319399,7212053,7105006,6997917,6891363,6787419,6691454,6600742,6508803,6416327,6323418,6229930,6135861,6041348,5946593,5852970,5768167,5689065,5606101,5519707
"Population, total",SP.POP.TOTL,Latvia,LVA,1883379,1884490,1900449,1913822,1927174,1942248,1959537,1977527,1993782,2012647,2034319,2059709,2097555,2141669,2177322,2200325,2218357,2238799,2263122,2287955,2310173,2337170
"Population, total",SP.POP.TOTL,Lebanon,LBN,5489739,5592631,5662923,5781907,5950839,6109252,6258619,6398940,6274342,5678851,5178337,5045056,4995800,4951135,4887613,4809608,4719864,4643044,4574797,4504807,4446666,4389200
"Population, total",SP.POP.TOTL,Lesotho,LSO,2305825,2281454,2254100,2225702,2198017,2170617,2143872,2118521,2095242,2073939,2054718,2037677,2022747,2009169,1995014,1983465,1976780,1977424,1985384,1993030,1997534,1999473
"Population, total",SP.POP.TOTL,Liberia,LBR,5302681,5193416,5087584,4985289,4889391,4796631,4706097,4612329,4519398,4427313,4331740,4181150,4019956,3905066,3783887,3632740,3455397,3266318,3122447,3085173,3060599,2981648
"Population, total",SP.POP.TOTL,Libya,LBY,6812341,6735277,6653942,6569088,6477793,6378261,6282196,6192235,6097764,5985221,5869870,6188132,6491988,6360191,6228370,6097177,5973369,5837986,5687563,5542641,5405326,5275916
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,39327,39039,38756,38482,38181,37889,37609,37355,37096,36806,36505,36189,35926,35675,35401,35150,34889,34603,34300,34000,33693,33376
"Population, total",SP.POP.TOTL,Lithuania,LTU,2833000,2800839,2794885,2794137,2801543,2828403,2868231,2904910,2932367,2957689,2987773,3028115,3097282,3162916,3198231,3231294,3269909,3322528,3377075,3415213,3443067,3470818
"Population, total",SP.POP.TOTL,Luxembourg,LUX,650774,640064,630419,620001,607950,596336,582014,569604,556319,543360,530946,518347,506953,497783,488650,479993,472637,465158,458095,451630,446175,441525
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,695168,686607,676283,663653,650991,638609,626688,615239,604167,593374,582766,571003,557297,543021,529038,515330,501863,488619,475529,462533,449665,439122
"Population, total",SP.POP.TOTL,Madagascar,MDG,29611714,28915653,28225177,27533134,26846541,26169542,25501941,24850912,24215976,23588073,22966240,22348158,21731053,21117092,20513599,19924958,19350299,18792171,18250774,17724310,17211934,16709665
"Population, total",SP.POP.TOTL,Malawi,MWI,20405317,19889742,19377061,18867337,18367883,17881167,17405624,16938942,16477966,16024775,15581251,15146094,14718422,14298932,13889423,13495463,13118307,12755648,12411342,12087965,11784498,11498818
"Population, total",SP.POP.TOTL,Malaysia,MYS,33938221,33573874,33199993,32804020,32399271,31975806,31526418,31068833,30606459,30134807,29660212,29184133,28717731,28217204,27664296,27092604,26509413,25923536,25333247,24739411,24142445,23542517
"Population, total",SP.POP.TOTL,Maldives,MDV,523787,521457,514438,504508,489758,472442,454252,435582,416738,400728,387539,374440,361575,349037,336883,325126,314401,307018,302135,297226,292284,287324
"Population, total",SP.POP.TOTL,Mali,MLI,22593590,21904983,21224040,20567424,19934298,19311355,18700106,18112907,17551814,17004033,16514687,16039734,15529181,15032635,14551117,14080912,13623541,13180551,12751995,12342165,11952660,11583824
"Population, total",SP.POP.TOTL,Malta,MLT,523417,518536,515332,504062,484630,467999,455356,445053,434558,425967,420028,416268,414508,412477,409379,406724,405308,403834,401268,398582,395969,393028
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,41569,42050,43413,44728,45989,47187,48329,49410,50419,51352,52203,52971,53416,53593,53816,54038,54208,54337,54435,54493,54496,54413
"Population, total",SP.POP.TOTL,Mauritania,MRT,4736139,4614974,4498604,4383849,4270712,4160015,4051890,3946220,3843174,3742959,3636113,3524249,3419461,3322616,3233336,3153508,3081229,3012360,2946575,2883326,2821703,2761823
